"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT4G21830",14745.5737527836,-5.67477374166184,0.70274335335435,-8.07517241475836,6.73813683697847e-16,8.64283155998747e-14
"AT3G62420",3606.24069171464,-0.768019076930188,0.0952871765081725,-8.06004653589791,7.62654099696472e-16,9.73033044431892e-14
"AT5G53500",726.882587427638,1.72273410422093,0.214026546104396,8.04916088951241,8.33636005442638e-16,1.0579678955845e-13
"AT1G18300",901.697919391074,-1.1751950034275,0.146063294980716,-8.04579277485593,8.56888830607837e-16,1.08175449952419e-13
"AT2G32660",831.222701687267,-3.45025442354411,0.42986592692332,-8.0263500953393,1.00415399483306e-15,1.26102815288303e-13
"AT4G15233",2031.82878314901,-1.62149634062907,0.202586707587333,-8.00396215497041,1.20478431545044e-15,1.5051019057497e-13
"AT4G15120",378.282749425214,-1.81738301927349,0.227205658767752,-7.99884575555928,1.25590923832368e-15,1.56084139846796e-13
"AT4G35080",3230.91763020827,-0.568672973217508,0.0711057272622041,-7.99756918483531,1.26899474570077e-15,1.56897463764838e-13
"AT5G20900",3123.26892891179,-0.855645624725437,0.107064278241468,-7.99188710538593,1.32888704196758e-15,1.63459920967356e-13
"AT5G44005",102.682872885814,1.32182821479079,0.165794667147056,7.97268233976646,1.55266905221423e-15,1.90011836155156e-13
"AT2G29090",361.742776309213,3.40199306165676,0.426981865893457,7.96753523604125,1.61870314625791e-15,1.9708737901595e-13
"AT4G27070",2605.32153358179,-1.90569742494479,0.239268510144705,-7.96468128544062,1.65650166965908e-15,2.00670954790115e-13
"AT3G55970",58746.6892806149,-4.78368443839561,0.601301985127859,-7.95554406390064,1.783460317894e-15,2.14965222035203e-13
"AT1G29290",510.826096337013,-3.28152976388153,0.412644695315238,-7.95243414282745,1.82882056710822e-15,2.19330450613289e-13
"AT3G15570",293.868138060426,2.08695207116705,0.262695948606444,7.94436336851773,1.951906385844e-15,2.32927495377383e-13
"AT1G76790",3531.73326477864,-3.77588715733498,0.475716009599268,-7.93727156779042,2.06677205377714e-15,2.45413834068804e-13
"AT4G29910",329.987116902916,1.06173095379963,0.133817719349325,7.9341581889318,2.11927836329502e-15,2.50408920305391e-13
"AT5G02780",1232.17384950527,-1.93767077754716,0.244766725112302,-7.91639785456189,2.4449041940246e-15,2.87467999989578e-13
"AT4G20820",64.0607937027849,2.69327582562682,0.340575222745872,7.90802044820644,2.61513866196632e-15,3.0598398022402e-13
"AT2G35730",1439.07175751271,-2.68856712291682,0.340056090035871,-7.90624606262225,2.65266598068567e-15,3.08868185498672e-13
"AT5G62020",1279.74953616235,-1.33499689285781,0.169196871698912,-7.89019843838163,3.01706411590023e-15,3.49600482531319e-13
"AT3G27810",84.2263457175779,-5.94622746911019,0.754640955485368,-7.87954513452787,3.28574995566868e-15,3.78903838637831e-13
"AT4G16563",328.709419924203,2.36458277694561,0.300372030861958,7.8721802764396,3.48513464492513e-15,3.99973395182651e-13
"AT3G61190",805.362344789038,-2.97159286703033,0.377848428502036,-7.86451032444698,3.70544027572889e-15,4.23231859303015e-13
"AT2G32140",774.051010641557,-3.79906282542233,0.483124021849676,-7.86353535242843,3.73440890059135e-15,4.24519108481442e-13
"AT1G52720",1018.40626559015,-1.44195101081926,0.183663685302057,-7.85104038638777,4.12600056623201e-15,4.66821931988872e-13
"AT3G02150",2744.44937812312,-1.34212267021235,0.17150940801294,-7.82535888708267,5.06210719747581e-15,5.70045555111056e-13
"AT3G23123",26.2134220682345,-6.12217515664948,0.78299320992314,-7.81893773670201,5.32709495302404e-15,5.97082708145956e-13
"AT3G06070",511.067188420039,2.3996386369358,0.307276879094632,7.80936933493385,5.7474848453213e-15,6.41205448836636e-13
"AT4G21865",222.068826842367,-1.55532095851901,0.199308922265017,-7.80356915708437,6.0180401685439e-15,6.68281071679139e-13
"AT1G51500",3201.15744465094,1.43096251714602,0.183552851576176,7.79591548079088,6.39431772640607e-15,7.06793110532608e-13
"AT5G14120",16513.2919219717,-0.972946201030118,0.124971748154496,-7.78532920758468,6.95319153052511e-15,7.65042440601722e-13
"AT2G24860",2521.96375095715,-0.825898650447688,0.106127447025889,-7.78213999858317,7.13078925770223e-15,7.81000507466875e-13
